dt_time,ws,wd
24-02-2024 00:00:00,2.53,347.8
24-02-2024 00:01:00,2.3,0.2
24-02-2024 00:02:00,0.34,293.2
24-02-2024 00:03:00,1.61,350.2
24-02-2024 00:04:00,2.17,317.3
24-02-2024 00:05:00,0.58,335.3
24-02-2024 00:06:00,3.74,3.4
24-02-2024 00:07:00,1.83,58.1
24-02-2024 00:08:00,1.1,106
24-02-2024 00:09:00,1.12,295.7
24-02-2024 00:10:00,0.27,35.2
24-02-2024 00:11:00,1.12,317.1
24-02-2024 00:12:00,1.28,287.3
24-02-2024 00:13:00,1.19,336.6
24-02-2024 00:14:00,0.45,335.4
24-02-2024 00:15:00,0.45,333.6
24-02-2024 00:16:00,0.63,206
24-02-2024 00:17:00,1.97,330.2
24-02-2024 00:18:00,1.59,17.3
24-02-2024 00:19:00,1.61,357.1
24-02-2024 00:20:00,0.11,302.7
24-02-2024 00:21:00,0.11,318
24-02-2024 00:22:00,5.95,351.6
24-02-2024 00:23:00,0.11,47.3
24-02-2024 00:24:00,1.5,346.3
24-02-2024 00:25:00,2.46,324.6
24-02-2024 00:26:00,1.1,51.4
24-02-2024 00:27:00,0.09,273
24-02-2024 00:28:00,0.78,342.6
24-02-2024 00:29:00,1.39,359.5
24-02-2024 00:30:00,2.01,356.9
24-02-2024 00:31:00,3.38,15.3
24-02-2024 00:32:00,0.43,358.6
24-02-2024 00:33:00,2.1,162.7
24-02-2024 00:34:00,0.34,167.2
24-02-2024 00:35:00,0.83,2.8
24-02-2024 00:36:00,0.6,180.7
24-02-2024 00:37:00,1.32,262.2
24-02-2024 00:38:00,1.72,327.2
24-02-2024 00:39:00,0.36,151.6
24-02-2024 00:40:00,0.31,184.1
24-02-2024 00:41:00,0.74,1.4
24-02-2024 00:42:00,1.21,161.8
24-02-2024 00:43:00,1.32,22.6
24-02-2024 00:44:00,0.4,0.4
24-02-2024 00:45:00,0.31,240.5
24-02-2024 00:46:00,0.65,9.8
24-02-2024 00:47:00,1.57,257.3
24-02-2024 00:48:00,1.36,235.1
24-02-2024 00:49:00,0.27,203.6
24-02-2024 00:50:00,2.8,211
24-02-2024 00:51:00,3.83,159.3
24-02-2024 00:52:00,1.32,84.2
24-02-2024 00:53:00,2.71,354.6
24-02-2024 00:54:00,2.06,164.1
24-02-2024 00:55:00,0.51,194.5
24-02-2024 00:56:00,2.66,166.3
24-02-2024 00:57:00,1.68,119.1
24-02-2024 00:58:00,2.28,23.2
24-02-2024 00:59:00,0,206.9
24-02-2024 01:00:00,0.69,7.2
24-02-2024 01:01:00,1.99,145.9
24-02-2024 01:02:00,0.31,154.3
24-02-2024 01:03:00,2.3,347.8
24-02-2024 01:04:00,1.3,73.1
24-02-2024 01:05:00,2.35,60.4
24-02-2024 01:06:00,1.16,331.3
24-02-2024 01:07:00,0.78,95.2
24-02-2024 01:08:00,2.13,273.2
24-02-2024 01:09:00,2.37,104.6
24-02-2024 01:10:00,0.81,134.4
24-02-2024 01:11:00,1.23,0.7
24-02-2024 01:12:00,1.92,232.3
24-02-2024 01:13:00,2.01,106.1
24-02-2024 01:14:00,0.81,198
24-02-2024 01:15:00,0.96,96.8
24-02-2024 01:16:00,1.25,155.5
24-02-2024 01:17:00,1.12,70.4
24-02-2024 01:18:00,0.6,308
24-02-2024 01:19:00,2.66,52.3
24-02-2024 01:20:00,2.46,209.1
24-02-2024 01:21:00,2.55,154
24-02-2024 01:22:00,2.48,66.4
24-02-2024 01:23:00,1.72,101.8
24-02-2024 01:24:00,1.57,348.8
24-02-2024 01:25:00,0.27,31
24-02-2024 01:26:00,0.78,42
24-02-2024 01:27:00,0,60
24-02-2024 01:28:00,1.97,158.5
24-02-2024 01:29:00,1.86,79.1
24-02-2024 01:30:00,1.63,148.5
24-02-2024 01:31:00,0.47,35.7
24-02-2024 01:32:00,0.38,54.5
24-02-2024 01:33:00,2.86,135.7
24-02-2024 01:34:00,1.74,94.5
24-02-2024 01:35:00,1.81,6.9
24-02-2024 01:36:00,0.38,144.5
24-02-2024 01:37:00,1.74,275.6
24-02-2024 01:38:00,0.49,72.9
24-02-2024 01:39:00,0.81,220.7
24-02-2024 01:40:00,0.02,263.8
24-02-2024 01:41:00,0.43,120.5
24-02-2024 01:42:00,2.17,292
24-02-2024 01:43:00,0.94,72.7
24-02-2024 01:44:00,1.52,27.6
24-02-2024 01:45:00,1.9,359.5
24-02-2024 01:46:00,3.11,176.8
24-02-2024 01:47:00,0.65,132
24-02-2024 01:48:00,0.96,0.2
24-02-2024 01:49:00,1.01,347
24-02-2024 01:50:00,2.01,85.7
24-02-2024 01:51:00,1.1,359.1
24-02-2024 01:52:00,1.7,104
24-02-2024 01:53:00,1.28,275.1
24-02-2024 01:54:00,0.54,235.7
24-02-2024 01:55:00,2.24,102.5
24-02-2024 01:56:00,0.43,198.9
24-02-2024 01:57:00,0.92,242.1
24-02-2024 01:58:00,0.78,291.2
24-02-2024 01:59:00,3.06,174.9
24-02-2024 02:00:00,1.5,212.7
24-02-2024 02:01:00,1.28,149.9
24-02-2024 02:02:00,0.43,208.4
24-02-2024 02:03:00,0.6,198.5
24-02-2024 02:04:00,1.19,200.7
24-02-2024 02:05:00,1.21,8.4
24-02-2024 02:06:00,2.1,15.7
24-02-2024 02:07:00,2.42,356.9
24-02-2024 02:08:00,1.05,357.9
24-02-2024 02:09:00,4.99,359.6
24-02-2024 02:10:00,0.18,332.1
24-02-2024 02:11:00,0,116.9
24-02-2024 02:12:00,0.92,183.1
24-02-2024 02:13:00,1.97,245.3
24-02-2024 02:14:00,0.96,180.3
24-02-2024 02:15:00,4.05,213.8
24-02-2024 02:16:00,2.39,186.3
24-02-2024 02:17:00,1.72,160.5
24-02-2024 02:18:00,1.19,301.3
24-02-2024 02:19:00,0.58,253.4
24-02-2024 02:20:00,2.13,332.1
24-02-2024 02:21:00,0.63,232.7
24-02-2024 02:22:00,1.45,115.3
24-02-2024 02:23:00,1.05,352.8
24-02-2024 02:24:00,0.49,336.8
24-02-2024 02:25:00,1.59,327.5
24-02-2024 02:26:00,1.79,352
24-02-2024 02:27:00,0.72,334.6
24-02-2024 02:28:00,0.96,211.1
24-02-2024 02:29:00,1.66,200.4
24-02-2024 02:30:00,0.49,247.1
24-02-2024 02:31:00,0.56,30.1
24-02-2024 02:32:00,1.43,251.3
24-02-2024 02:33:00,1.16,113.6
24-02-2024 02:34:00,1.16,68.2
24-02-2024 02:35:00,0.36,95.6
24-02-2024 02:36:00,0,246
24-02-2024 02:37:00,1.48,282
