dt_time,ozone
24-02-2024 00:00:00,33.28
24-02-2024 00:01:00,33.77
24-02-2024 00:02:00,33.91
24-02-2024 00:03:00,33.59
24-02-2024 00:04:00,33.29
24-02-2024 00:05:00,33.1
24-02-2024 00:06:00,32.95
24-02-2024 00:07:00,32.68
24-02-2024 00:08:00,32.76
24-02-2024 00:09:00,32.91
24-02-2024 00:10:00,33.36
24-02-2024 00:11:00,34.36
24-02-2024 00:12:00,35.11
24-02-2024 00:13:00,35.54
24-02-2024 00:14:00,35.88
24-02-2024 00:15:00,35.54
24-02-2024 00:16:00,34.7
24-02-2024 00:17:00,34.08
24-02-2024 00:18:00,33.77
24-02-2024 00:19:00,34.06
24-02-2024 00:20:00,34.48
24-02-2024 00:21:00,34.87
24-02-2024 00:22:00,35.09
24-02-2024 00:23:00,35.8
24-02-2024 00:24:00,36.37
24-02-2024 00:25:00,36.77
24-02-2024 00:26:00,36.72
24-02-2024 00:27:00,36.96
24-02-2024 00:28:00,37.36
24-02-2024 00:29:00,38.01
24-02-2024 00:30:00,38.56
24-02-2024 00:31:00,38.76
24-02-2024 00:32:00,39.1
24-02-2024 00:33:00,39.06
24-02-2024 00:34:00,39.13
24-02-2024 00:35:00,37.6
24-02-2024 00:36:00,37.12
24-02-2024 00:37:00,36.69
24-02-2024 00:38:00,36.2
24-02-2024 00:39:00,36.61
24-02-2024 00:40:00,36.79
24-02-2024 00:41:00,36.59
24-02-2024 00:42:00,35.65
24-02-2024 00:43:00,34.95
24-02-2024 00:44:00,32.91
24-02-2024 00:45:00,32.46
24-02-2024 00:46:00,32.37
24-02-2024 00:47:00,33.36
24-02-2024 00:48:00,34.09
24-02-2024 00:49:00,34.85
24-02-2024 00:50:00,34.98
24-02-2024 00:51:00,34.42
24-02-2024 00:52:00,34.49
24-02-2024 00:53:00,34.44
24-02-2024 00:54:00,34.77
24-02-2024 00:55:00,35.2
24-02-2024 00:56:00,35.83
24-02-2024 00:57:00,36.48
24-02-2024 00:58:00,36.39
24-02-2024 00:59:00,35.46
24-02-2024 01:00:00,34.9
24-02-2024 01:01:00,34.68
24-02-2024 01:02:00,35.2
24-02-2024 01:03:00,35.71
24-02-2024 01:04:00,35.59
24-02-2024 01:05:00,35.49
24-02-2024 01:06:00,35.56
24-02-2024 01:07:00,35.62
24-02-2024 01:08:00,35.85
24-02-2024 01:09:00,35.57
24-02-2024 01:10:00,35.18
24-02-2024 01:11:00,34.8
24-02-2024 01:12:00,34.71
24-02-2024 01:13:00,34.52
24-02-2024 01:14:00,34.06
24-02-2024 01:15:00,34.08
24-02-2024 01:16:00,34.08
24-02-2024 01:17:00,34.69
24-02-2024 01:18:00,35.05
24-02-2024 01:19:00,34.81
24-02-2024 01:20:00,34.08
24-02-2024 01:21:00,32.97
24-02-2024 01:22:00,31.96
24-02-2024 01:23:00,31.52
24-02-2024 01:24:00,31.75
24-02-2024 01:25:00,31.85
24-02-2024 01:26:00,32.03
24-02-2024 01:27:00,32.04
24-02-2024 01:28:00,31.36
24-02-2024 01:29:00,30.35
24-02-2024 01:30:00,29.96
24-02-2024 01:31:00,29.37
24-02-2024 01:32:00,29.21
24-02-2024 01:33:00,29.64
24-02-2024 01:34:00,30.48
24-02-2024 01:35:00,30.94
24-02-2024 01:36:00,31.63
24-02-2024 01:37:00,32.18
24-02-2024 01:38:00,33.06
24-02-2024 01:39:00,33.93
24-02-2024 01:40:00,34.7
24-02-2024 01:41:00,35.3
24-02-2024 01:42:00,35.51
24-02-2024 01:43:00,35.59
24-02-2024 01:44:00,35.97
24-02-2024 01:45:00,35.72
24-02-2024 01:46:00,36.01
24-02-2024 01:47:00,35.79
24-02-2024 01:48:00,35.6
24-02-2024 01:49:00,35.84
24-02-2024 01:50:00,35.7
24-02-2024 01:51:00,36.06
24-02-2024 01:52:00,36.32
24-02-2024 01:53:00,36.42
24-02-2024 01:54:00,36.19
24-02-2024 01:55:00,35.99
24-02-2024 01:56:00,35.88
24-02-2024 01:57:00,35.59
24-02-2024 01:58:00,35.37
24-02-2024 01:59:00,35.1
24-02-2024 02:00:00,34.55
24-02-2024 02:01:00,34.3
24-02-2024 02:02:00,34.37
24-02-2024 02:03:00,34.25
24-02-2024 02:04:00,34.23
24-02-2024 02:05:00,34.06
24-02-2024 02:06:00,33.63
24-02-2024 02:07:00,33.28
24-02-2024 02:08:00,32.77
24-02-2024 02:09:00,32.29
24-02-2024 02:10:00,32.35
24-02-2024 02:11:00,32.91
24-02-2024 02:12:00,33.25
24-02-2024 02:13:00,33.36
24-02-2024 02:14:00,32.93
24-02-2024 02:15:00,32.25
24-02-2024 02:16:00,31.73
24-02-2024 02:17:00,31.57
24-02-2024 02:18:00,31.35
24-02-2024 02:19:00,30.71
24-02-2024 02:20:00,30.5
24-02-2024 02:21:00,29.95
24-02-2024 02:22:00,29.63
24-02-2024 02:23:00,28.73
24-02-2024 02:24:00,27.12
24-02-2024 02:25:00,26.25
24-02-2024 02:26:00,25.04
24-02-2024 02:27:00,25.04
24-02-2024 02:28:00,26.14
24-02-2024 02:29:00,26.66
24-02-2024 02:30:00,27.52
24-02-2024 02:31:00,27.44
24-02-2024 02:32:00,27.04
24-02-2024 02:33:00,26.39
24-02-2024 02:34:00,25.79
24-02-2024 02:35:00,25.61
24-02-2024 02:36:00,25.4
24-02-2024 02:37:00,25.64
24-02-2024 02:38:00,25.91
24-02-2024 02:39:00,25.96
24-02-2024 02:40:00,25.9
24-02-2024 02:41:00,25.68
24-02-2024 02:42:00,25.37
24-02-2024 02:43:00,25.32
24-02-2024 02:44:00,25.58
24-02-2024 02:45:00,25.49
24-02-2024 02:46:00,25.64
24-02-2024 02:47:00,25.99
24-02-2024 02:48:00,25.97
24-02-2024 02:49:00,25.69
24-02-2024 02:50:00,24.66
24-02-2024 02:51:00,24.03
24-02-2024 02:52:00,23.94
24-02-2024 02:53:00,24.36
24-02-2024 02:54:00,24.97
24-02-2024 02:55:00,24.59
24-02-2024 02:56:00,24.09
24-02-2024 02:57:00,24.18
24-02-2024 02:58:00,24.44
24-02-2024 02:59:00,24.69
24-02-2024 03:00:00,24.84
24-02-2024 03:01:00,24.57
24-02-2024 03:02:00,24.62
24-02-2024 03:03:00,25.14
24-02-2024 03:04:00,25.53
24-02-2024 03:05:00,25.52
24-02-2024 03:06:00,25.68
24-02-2024 03:07:00,25.99
24-02-2024 03:08:00,26.18
24-02-2024 03:09:00,26.08
24-02-2024 03:10:00,25.2
24-02-2024 03:11:00,24.34
24-02-2024 03:12:00,23.36
24-02-2024 03:13:00,22.59
24-02-2024 03:14:00,22.03
24-02-2024 03:15:00,21.26
24-02-2024 03:16:00,20.99
24-02-2024 03:17:00,20.97
24-02-2024 03:18:00,21
24-02-2024 03:19:00,21.03
24-02-2024 03:20:00,21.27
24-02-2024 03:21:00,21.77
24-02-2024 03:22:00,22.34
24-02-2024 03:23:00,23.35
24-02-2024 03:24:00,23.68
24-02-2024 03:25:00,23.83
24-02-2024 03:26:00,23.4
24-02-2024 03:27:00,22.85
24-02-2024 03:28:00,22.03
24-02-2024 03:29:00,20.59
24-02-2024 03:30:00,19.92
24-02-2024 03:31:00,18.66
24-02-2024 03:32:00,18.47
24-02-2024 03:33:00,18.6
